Emotions,Path
angry,kaggle/Savee/DC_a01.wav
angry,kaggle/Savee/DC_a02.wav
angry,kaggle/Savee/DC_a03.wav
angry,kaggle/Savee/DC_a04.wav
angry,kaggle/Savee/DC_a05.wav
angry,kaggle/Savee/DC_a06.wav
angry,kaggle/Savee/DC_a07.wav
angry,kaggle/Savee/DC_a08.wav
angry,kaggle/Savee/DC_a09.wav
angry,kaggle/Savee/DC_a10.wav
angry,kaggle/Savee/DC_a11.wav
angry,kaggle/Savee/DC_a12.wav
angry,kaggle/Savee/DC_a13.wav
angry,kaggle/Savee/DC_a14.wav
angry,kaggle/Savee/DC_a15.wav
disgust,kaggle/Savee/DC_d01.wav
disgust,kaggle/Savee/DC_d02.wav
disgust,kaggle/Savee/DC_d03.wav
disgust,kaggle/Savee/DC_d04.wav
disgust,kaggle/Savee/DC_d05.wav
disgust,kaggle/Savee/DC_d06.wav
disgust,kaggle/Savee/DC_d07.wav
disgust,kaggle/Savee/DC_d08.wav
disgust,kaggle/Savee/DC_d09.wav
disgust,kaggle/Savee/DC_d10.wav
disgust,kaggle/Savee/DC_d11.wav
disgust,kaggle/Savee/DC_d12.wav
disgust,kaggle/Savee/DC_d13.wav
disgust,kaggle/Savee/DC_d14.wav
disgust,kaggle/Savee/DC_d15.wav
fearful,kaggle/Savee/DC_f01.wav
fearful,kaggle/Savee/DC_f02.wav
fearful,kaggle/Savee/DC_f03.wav
fearful,kaggle/Savee/DC_f04.wav
fearful,kaggle/Savee/DC_f05.wav
fearful,kaggle/Savee/DC_f06.wav
fearful,kaggle/Savee/DC_f07.wav
fearful,kaggle/Savee/DC_f08.wav
fearful,kaggle/Savee/DC_f09.wav
fearful,kaggle/Savee/DC_f10.wav
fearful,kaggle/Savee/DC_f11.wav
fearful,kaggle/Savee/DC_f12.wav
fearful,kaggle/Savee/DC_f13.wav
fearful,kaggle/Savee/DC_f14.wav
fearful,kaggle/Savee/DC_f15.wav
happy,kaggle/Savee/DC_h01.wav
happy,kaggle/Savee/DC_h02.wav
happy,kaggle/Savee/DC_h03.wav
happy,kaggle/Savee/DC_h04.wav
happy,kaggle/Savee/DC_h05.wav
happy,kaggle/Savee/DC_h06.wav
happy,kaggle/Savee/DC_h07.wav
happy,kaggle/Savee/DC_h08.wav
happy,kaggle/Savee/DC_h09.wav
happy,kaggle/Savee/DC_h10.wav
happy,kaggle/Savee/DC_h11.wav
happy,kaggle/Savee/DC_h12.wav
happy,kaggle/Savee/DC_h13.wav
happy,kaggle/Savee/DC_h14.wav
happy,kaggle/Savee/DC_h15.wav
neutral,kaggle/Savee/DC_n01.wav
neutral,kaggle/Savee/DC_n02.wav
neutral,kaggle/Savee/DC_n03.wav
neutral,kaggle/Savee/DC_n04.wav
neutral,kaggle/Savee/DC_n05.wav
neutral,kaggle/Savee/DC_n06.wav
neutral,kaggle/Savee/DC_n07.wav
neutral,kaggle/Savee/DC_n08.wav
neutral,kaggle/Savee/DC_n09.wav
neutral,kaggle/Savee/DC_n10.wav
neutral,kaggle/Savee/DC_n11.wav
neutral,kaggle/Savee/DC_n12.wav
neutral,kaggle/Savee/DC_n13.wav
neutral,kaggle/Savee/DC_n14.wav
neutral,kaggle/Savee/DC_n15.wav
neutral,kaggle/Savee/DC_n16.wav
neutral,kaggle/Savee/DC_n17.wav
neutral,kaggle/Savee/DC_n18.wav
neutral,kaggle/Savee/DC_n19.wav
neutral,kaggle/Savee/DC_n20.wav
neutral,kaggle/Savee/DC_n21.wav
neutral,kaggle/Savee/DC_n22.wav
neutral,kaggle/Savee/DC_n23.wav
neutral,kaggle/Savee/DC_n24.wav
neutral,kaggle/Savee/DC_n25.wav
neutral,kaggle/Savee/DC_n26.wav
neutral,kaggle/Savee/DC_n27.wav
neutral,kaggle/Savee/DC_n28.wav
neutral,kaggle/Savee/DC_n29.wav
neutral,kaggle/Savee/DC_n30.wav
sad,kaggle/Savee/DC_sa01.wav
sad,kaggle/Savee/DC_sa02.wav
sad,kaggle/Savee/DC_sa03.wav
sad,kaggle/Savee/DC_sa04.wav
sad,kaggle/Savee/DC_sa05.wav
sad,kaggle/Savee/DC_sa06.wav
sad,kaggle/Savee/DC_sa07.wav
sad,kaggle/Savee/DC_sa08.wav
sad,kaggle/Savee/DC_sa09.wav
sad,kaggle/Savee/DC_sa10.wav
sad,kaggle/Savee/DC_sa11.wav
sad,kaggle/Savee/DC_sa12.wav
sad,kaggle/Savee/DC_sa13.wav
sad,kaggle/Savee/DC_sa14.wav
sad,kaggle/Savee/DC_sa15.wav
surprise,kaggle/Savee/DC_su01.wav
surprise,kaggle/Savee/DC_su02.wav
surprise,kaggle/Savee/DC_su03.wav
surprise,kaggle/Savee/DC_su04.wav
surprise,kaggle/Savee/DC_su05.wav
surprise,kaggle/Savee/DC_su06.wav
surprise,kaggle/Savee/DC_su07.wav
surprise,kaggle/Savee/DC_su08.wav
surprise,kaggle/Savee/DC_su09.wav
surprise,kaggle/Savee/DC_su10.wav
surprise,kaggle/Savee/DC_su11.wav
surprise,kaggle/Savee/DC_su12.wav
surprise,kaggle/Savee/DC_su13.wav
surprise,kaggle/Savee/DC_su14.wav
surprise,kaggle/Savee/DC_su15.wav
angry,kaggle/Savee/JE_a01.wav
angry,kaggle/Savee/JE_a02.wav
angry,kaggle/Savee/JE_a03.wav
angry,kaggle/Savee/JE_a04.wav
angry,kaggle/Savee/JE_a05.wav
angry,kaggle/Savee/JE_a06.wav
angry,kaggle/Savee/JE_a07.wav
angry,kaggle/Savee/JE_a08.wav
angry,kaggle/Savee/JE_a09.wav
angry,kaggle/Savee/JE_a10.wav
angry,kaggle/Savee/JE_a11.wav
angry,kaggle/Savee/JE_a12.wav
angry,kaggle/Savee/JE_a13.wav
angry,kaggle/Savee/JE_a14.wav
angry,kaggle/Savee/JE_a15.wav
disgust,kaggle/Savee/JE_d01.wav
disgust,kaggle/Savee/JE_d02.wav
disgust,kaggle/Savee/JE_d03.wav
disgust,kaggle/Savee/JE_d04.wav
disgust,kaggle/Savee/JE_d05.wav
